identifiant_ctv,objet,typologie,description,date_creation,statut,identifiant,cp_arrondissement,url_lic,date_fin,numero_stv,date_debut,niveau_perturbation,voie,impact_circulation,date_maj,maitre_ouvrage,precision_localisation,impact_circulation_detail,geo_point_2d.lat,geo_point_2d.lon,geo_shape.geometry.type,geo_shape.geometry.coordinates,geo_shape.type
,REFECTION_CHAUSSEE,1.0,Désamiantage puis tapis.,2021-10-12,2,CP002168,75013,http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR STVSE GlaciÃ¨re.pdf,2021-12-03,14,2021-10-25,1.0,Rue de la Glacière,BARRAGE_TOTAL,2021-10-12,STV,entre le bd auguste Blanqui et la rue Léon-Maurice Nordmann.,"du 25 au 28/10 entre Blanqui et Champ de l'Alouette, puis du 16 au 22/11 entre n°36 et 40 (la rue en impasse depuis Blanqui) et totale les nuits du 25 au 26/11 et 2 au 3/12.
Mise en sens unique depuis Blanqui jusqu'à LM Noerdmann du 28/10 au 15/11.",48.8327022192,2.34457718263,Polygon,"[[[2.344759602578444, 48.834069047658986], [2.344889085141436, 48.8341234637061], [2.344783094797585, 48.833494507529174], [2.344799768969272, 48.83346237442555], [2.344494232227301, 48.83188170399003], [2.344453424827511, 48.831892221527276], [2.3443323902800373, 48.83116650764743], [2.344193632227499, 48.83120334244134], [2.344250100956055, 48.83124124762693], [2.34466812768045, 48.83357980982184], [2.3447001934911462, 48.83361758009152], [2.344759602578444, 48.834069047658986]]]",Feature
,REFECTION_CHAUSSEE,1.0,Reprise du pavage,2021-09-10,2,CP002146,75008,,2021-11-19,9,2021-10-18,1.0,103-105 av des Champs Elysées,RESTREINTE,2021-09-10,STV,entre les rues Galilée et Bassano.,Maintien d'une file de circulation depuis rue Galilée jusqu'à la rue Bassano.,48.8720961074,2.30009198693,Polygon,"[[[2.300331687133967, 48.87208526558613], [2.300250087212051, 48.87198365828874], [2.2998516163369143, 48.87210863298794], [2.299931445466902, 48.87220784962982], [2.300331687133967, 48.87208526558613]]]",Feature
,TRAVAUX_OUVRAGE,2.0,Création d'un puits de service.,2018-11-23,2,CP000972,75008,,2022-12-30,9,2019-01-08,1.0,avenue de Friedland,RESTREINTE,2018-12-28,SNCF EOLE,entre la rue Berryer et la rue Beaujon,"Maintien d'une file de circulation  en direction de la place de l'Etoile , la circulation générale est déviée dans la contre-allée à partir de la rue Lamennais",48.8747634951,2.3038824253,Polygon,"[[[2.304422803720147, 48.87491931126261], [2.304459185606731, 48.87489620365206], [2.304473823226661, 48.874880584410775], [2.304472794024378, 48.87474161495838], [2.303399433909941, 48.87461925331769], [2.303278408078825, 48.874605699179945], [2.303255264600916, 48.87460984803744], [2.303234165106572, 48.87462304986576], [2.303222406926372, 48.874639162372354], [2.303222184112558, 48.87465581777475], [2.303278015299301, 48.874688979490756], [2.303324449258401, 48.87472351554153], [2.303335161626825, 48.874731667460274], [2.303429363970006, 48.874808835933436], [2.304422803720147, 48.87491931126261]]]",Feature
,CONSTRUCTION_IMMEUBLE,3.0,,2021-01-05,2,CP001822,75018,,2022-09-30,9,2021-03-01,2.0,bd Barbès,RESTREINTE,2021-01-05,Elogie SIEMP,,Neutralisation du couloir bus. Maintien d'une file de circulation de 4m intégrant les vélos.,48.884304145,2.34962227827,Polygon,"[[[2.349691877727816, 48.88424866127925], [2.3495511001175062, 48.8842538456193], [2.349555189589001, 48.8843597548167], [2.349690540636348, 48.884355730808366], [2.349691877727816, 48.88424866127925]]]",Feature
456979,TRAVAUX_PREPARATOIRES,1.0,Préparation à la piétonisation de la rue de Mogador,2021-08-23,2,CP002133,75009,,2021-10-11,11,2021-09-13,2.0,Rue de Mogador,RESTREINTE,2021-08-23,SAGP,entre la rue de Provence et la place Diaghilev,travaux par phase avant la mise en voie piétonne,48.8737402651,2.33125412832,Polygon,"[[[2.33124409745423, 48.874236156819144], [2.331382496735911, 48.87423692994041], [2.331289071598723, 48.87326971014278], [2.331117629024075, 48.873306345555356], [2.331109487554286, 48.87330630006131], [2.33124409745423, 48.874236156819144]]]",Feature
,INSPECTION_ENTRETIEN_RESEAU,2.0,Base-vie pour les travaux de renouvellement de conduites. Emprise située rue E. Colonne.,2021-01-08,2,CP001827,75001,,2021-11-15,11,2021-02-01,2.0,Rue de l'Amiral de Coligny,RESTREINTE,2021-01-08,Eau de Paris,côté Louvre.,Neutralisation de la voie bus.,48.8598499563,2.34019003205,Polygon,"[[[2.34002905171343, 48.859593017323114], [2.340313570439895, 48.86013569150201], [2.340348562426707, 48.860106378535335], [2.34007824420966, 48.859581391108634], [2.34002905171343, 48.859593017323114]]]",Feature
525106,REHABILITATION_IMMEUBLE,3.0,,2021-12-09,1,CP002205,75018,,2022-09-30,9,2022-01-10,2.0,Rue de La Chapelle,RESTREINTE,2021-12-09,TOLOEPLINK,Au N°32,Neutralisation de la voie Bus,48.8925239976,2.35982806938,Polygon,"[[[2.359835207804347, 48.89260740373082], [2.359835213653346, 48.89260692802124], [2.35986251999363, 48.89244051161967], [2.359818410822715, 48.892447413729904], [2.359794841638457, 48.89260338020459], [2.359835207804347, 48.89260740373082]]]",Feature
,REAMENAGEMENT_VOIRIE,1.0,Elargissement de l'oreille de trottoir pour les travaux de la piste cyclable.,2021-08-05,2,CP002122,75011,,2021-10-31,10,2021-08-25,2.0,rue Chevreul,RESTREINTE,2021-08-05,SAGP Mission Vélo,Angle rue du Faubourg St Antoine,"Maintien de 4,00 m",48.8491640072,2.39194430068,Polygon,"[[[2.391851096707912, 48.849163106957704], [2.391989611592675, 48.84918879678617], [2.391981401008133, 48.84927441848445], [2.392024581967557, 48.84928177698486], [2.392012173668138, 48.84910919633568], [2.391909698040688, 48.849084880449446], [2.391792757643452, 48.84921873041395], [2.391819631490935, 48.8492331442605], [2.391849252266538, 48.84916666711683], [2.391851096707912, 48.849163106957704]]]",Feature
329624,REHABILITATION_IMMEUBLE,3.0,Curage du 11/02/21 au 30/06/21,2021-01-22,2,CP001840,75008,,2023-03-31,9,2021-02-11,,Rue Bassano,,2021-01-22,DIOR,Entre Champs Elysées et Vernet,,48.871614551,2.30009315722,Polygon,"[[[2.300177099535802, 48.87179744424186], [2.300177083550987, 48.87179863398033], [2.3002423429815932, 48.87177403083425], [2.300033870013011, 48.871450387179046], [2.299938127929377, 48.87146172468321], [2.300177099535802, 48.87179744424186]]]",Feature
,REHABILITATION_IMMEUBLE,3.0,Réhabilitation de la BNF,2017-09-18,2,CP000411,75002,http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/2017_09_Vivienne_2eme_BNF.pdf,2022-08-31,11,2017-08-31,2.0,Rue Vivienne,RESTREINTE,2021-01-14,OPPIC,du n°3 au n°7,Inversion de sens de la voie,48.8671671873,2.33908926052,Polygon,"[[[2.3394385851198303, 48.86790967485922], [2.339528291282916, 48.8678940653741], [2.339098758935255, 48.8671159907392], [2.338710494041781, 48.86637438824708], [2.338638122933645, 48.86639302478267], [2.3394385851198303, 48.86790967485922]]]",Feature
